Date,XLF,IYF,hedge_ratio,signal,strategy_return,cumulative_return
2021-10-25,40.56999969482422,89.83000183105469,0.4581825268073061,0,-0.0,1.0808478938161687
2021-10-26,40.599998474121094,89.93000030517578,0.4580008655704708,0,0.0,1.0808478938161687
2021-10-27,39.93000030517578,88.37999725341797,0.45843818929520014,0,-0.0,1.0808478938161687
2021-10-28,40.41999816894531,89.62000274658203,0.4575693650587922,0,0.0,1.0808478938161687
2021-10-29,40.2599983215332,89.22000122070312,0.45781295428644037,0,-0.0,1.0808478938161687
2021-11-01,40.279998779296875,89.5,0.4566190840764904,0,-0.0,1.0808478938161687
2021-11-02,40.380001068115234,89.77999877929688,0.4562974007801086,0,0.0,1.0808478938161687
2021-11-03,40.529998779296875,90.23999786376953,0.4556351203253175,0,0.0,1.0808478938161687
2021-11-04,40.0,88.98999786376953,0.4560611449966141,0,-0.0,1.0808478938161687
2021-11-05,40.02000045776367,89.02999877929688,0.4560859519399096,0,0.0,1.0808478938161687
2021-11-08,40.2400016784668,89.37999725341797,0.45675548312133174,-1,0.0,1.0808478938161687
2021-11-09,40.02000045776367,89.0199966430664,0.45614915557915137,-1,0.0036275283613999417,1.0847687002053463
2021-11-10,39.95000076293945,88.61000061035156,0.4574407506225049,-1,-0.0003517511272712521,1.0843871315922204
2021-11-11,40.060001373291016,88.97000122070312,0.4568479528377344,-1,-0.0008949879124505748,1.0834166182170284
2021-11-12,40.150001525878906,89.18000030517578,0.45677479354235956,-1,-0.0011683191805813983,1.0821508418014048
2021-11-15,40.150001525878906,89.13999938964844,0.45697626188502843,-1,-0.00020488237126015346,1.0819291281708754
2021-11-16,40.11000061035156,89.1500015258789,0.4564849293621405,-1,0.0010475627323313914,1.083062516804571
2021-11-17,39.650001525878906,88.19999694824219,0.4561866638027235,-1,0.006604021847602423,1.0902150853278678
2021-11-18,39.45000076293945,87.86000061035156,0.4556800527866932,0,0.0032856314247400975,1.0937971302719467
2021-11-19,39.02000045776367,86.93000030517578,0.4556036687535275,0,-0.0,1.0937971302719467
2021-11-22,39.56999969482422,88.05000305175781,0.45605277405430467,0,0.0,1.0937971302719467
2021-11-23,40.189998626708984,89.30000305175781,0.45661698063827433,0,0.0,1.0937971302719467
2021-11-24,40.099998474121094,89.16999816894531,0.4562848243290175,0,-0.0,1.0937971302719467
2021-11-26,38.77000045776367,86.36000061035156,0.45574891308453086,0,-0.0,1.0937971302719467
2021-11-29,38.88999938964844,86.69999694824219,0.4553426468549666,0,0.0,1.0937971302719467
2021-11-30,37.959999084472656,84.4800033569336,0.4562596636990925,0,-0.0,1.0937971302719467
2021-12-01,37.540000915527344,83.61000061035156,0.4560032886977903,0,-0.0,1.0937971302719467
2021-12-02,38.65999984741211,86.01000213623047,0.4563005262443507,0,0.0,1.0937971302719467
2021-12-03,38.029998779296875,84.5999984741211,0.45645814276899604,0,-0.0,1.0937971302719467
2021-12-06,38.61000061035156,85.69000244140625,0.4574202253641748,0,0.0,1.0937971302719467
2021-12-07,39.29999923706055,87.23999786376953,0.45721452343009045,0,0.0,1.0937971302719467
2021-12-08,39.09000015258789,86.83000183105469,0.4569566693780017,0,-0.0,1.0937971302719467
2021-12-09,39.0099983215332,86.5,0.457758328493656,0,-0.0,1.0937971302719467
2021-12-10,39.04999923706055,86.54000091552734,0.4580162304731922,0,0.0,1.0937971302719467
2021-12-13,38.630001068115234,85.20999908447266,0.4601798179932228,-1,-0.0,1.0937971302719467
2021-12-14,38.86000061035156,85.5999984741211,0.46079380834273603,-1,-0.0038477033757997616,1.0895885233613591
2021-12-15,38.970001220703125,86.06999969482422,0.45957429083721646,0,-0.00030062379912482303,1.0892609671199833
2021-12-16,39.459999084472656,86.79000091552734,0.4613806047578406,0,0.0,1.0892609671199833
2021-12-17,38.59000015258789,85.0,0.4609010754195924,0,-0.0,1.0892609671199833
2021-12-20,37.65999984741211,83.33999633789062,0.45897939813126193,1,-0.0,1.0892609671199833
2021-12-21,38.439998626708984,85.08000183105469,0.45873214821930985,1,0.011128844158414627,1.1013831826709055
